city_id,city,province,lat,lon,city_type
1,Jakarta,DKI Jakarta,-6.2088,106.8456,kota
2,Bandung,Jawa Barat,-6.9175,107.6191,kota
3,Bekasi,Jawa Barat,-6.2349,106.9896,kota
4,Depok,Jawa Barat,-6.4025,106.7942,kota
5,Bogor,Jawa Barat,-6.5971,106.8060,kota
6,Cimahi,Jawa Barat,-6.8722,107.5420,kota
7,Cirebon,Jawa Barat,-6.7320,108.5523,kota
8,Tasikmalaya,Jawa Barat,-7.3274,108.2207,kota
9,Sukabumi,Jawa Barat,-6.9204,106.9297,kota
10,Karawang,Jawa Barat,-6.3268,107.3377,kabupaten
11,Purwakarta,Jawa Barat,-6.5566,107.4430,kabupaten
12,Subang,Jawa Barat,-6.5744,107.7620,kabupaten
13,Garut,Jawa Barat,-7.2125,107.9053,kabupaten
14,Kuningan,Jawa Barat,-6.9758,108.4803,kabupaten
15,Indramayu,Jawa Barat,-6.3279,108.3212,kabupaten
16,Semarang,Jawa Tengah,-6.9667,110.4167,kota
17,Solo,Jawa Tengah,-7.5755,110.8243,kota
18,Magelang,Jawa Tengah,-7.4797,110.2177,kota
19,Pekalongan,Jawa Tengah,-6.8886,109.6753,kota
20,Tegal,Jawa Tengah,-6.8694,109.1402,kota
21,Salatiga,Jawa Tengah,-7.3305,110.5081,kota
22,Purwokerto,Jawa Tengah,-7.4167,109.2333,kabupaten
23,Cilacap,Jawa Tengah,-7.7298,109.0153,kabupaten
24,Kebumen,Jawa Tengah,-7.6756,109.6524,kabupaten
25,Wonosobo,Jawa Tengah,-7.3616,109.9067,kabupaten
26,Surabaya,Jawa Timur,-7.2575,112.7521,kota
27,Malang,Jawa Timur,-7.9666,112.6326,kota
28,Kediri,Jawa Timur,-7.8168,112.0114,kota
29,Blitar,Jawa Timur,-8.0953,112.1608,kota
30,Probolinggo,Jawa Timur,-7.7543,113.2159,kota
31,Madiun,Jawa Timur,-7.6298,111.5239,kota
32,Mojokerto,Jawa Timur,-7.4721,111.4336,kota
33,Pasuruan,Jawa Timur,-7.6453,112.9075,kota
